标题,区县,所在街道,房型,面积,朝向,月租
整租·书香银苑 3室2厅 南,杨浦,五角场,3室2厅2卫,116㎡,南,9800元/月
整租·莲花公寓(普陀) 1室1厅 南,普陀,桃浦,1室1厅1卫,48㎡,南,3200元/月
整租·新华小区 1室1厅 南,闵行,老闵行,1室1厅1卫,44㎡,南,2500元/月
整租·新华小区 1室1厅 南/北,闵行,老闵行,1室1厅1卫,42㎡,南 北,2650元/月
整租·馨佳园(菊泉街1280弄) 2室1厅 南,宝山,顾村,2室1厅1卫,75㎡,南,3800元/月
整租·复地北桥城(都市路399弄)(公寓) 2室2厅 南,闵行,颛桥,2室2厅1卫,81㎡,南,4000元/月
整租·恒嘉花园 2室1厅 南,嘉定,江桥,2室1厅1卫,58㎡,南,3600元/月
整租·西凌新邨 1室1厅 北,黄浦,蓬莱公园,1室1厅1卫,28㎡,北,3700元/月
整租·强生花苑 3室1厅 南/北,徐汇,龙华,3室1厅2卫,117㎡,南 北,9000元/月
整租·沂南路54弄 1室1厅 南,浦东,南码头,1室1厅1卫,41㎡,南,4000元/月
整租·民欣苑 2室1厅 南,杨浦,中原,2室1厅1卫,54㎡,南,5800元/月
整租·景港名人苑 2室1厅 南,青浦,盈浦,2室1厅1卫,55㎡,南,2500元/月
整租·香楠小区 2室1厅 南,浦东,张江,2室1厅1卫,64㎡,南,5500元/月
整租·当代万国府MOMA 2室1厅 南,闵行,老闵行,2室1厅1卫,69㎡,南,4700元/月
整租·华润置地橡树湾 1室2厅 南,杨浦,新江湾城,1室2厅1卫,88㎡,南,7200元/月
整租·临江豪园 2室1厅 南,徐汇,龙华,2室1厅1卫,114㎡,南,14000元/月
整租·虹一小区 2室1厅 南,长宁,虹桥,2室1厅1卫,51㎡,南,6500元/月
整租·凤城二村 1室0厅 北,杨浦,控江路,1室0厅1卫,30㎡,北,3500元/月
整租·罗南二村 2室1厅 南,宝山,罗店,2室1厅1卫,70㎡,南,3000元/月
整租·甘泉三村 1室0厅 南,普陀,甘泉宜川,1室0厅1卫,30㎡,南,3000元/月
整租·园西小区 2室1厅 南,浦东,川沙,2室1厅1卫,65㎡,南,2700元/月
整租·淞虹苑 2室1厅 南,长宁,北新泾,2室1厅1卫,74㎡,南,6000元/月
整租·长恒苑 2室2厅 南,杨浦,中原,2室2厅1卫,93㎡,南,7500元/月
