职位名称,薪资,工作经验,更新时间,学历要求,岗位评分,福利,公司名称,公司规模,公司类型,岗位链接,公司链接,公司地址,职位详情
python开发工程师（上海）,10K-18K,1-3年,2019-08-19 10:04:18,大专,455,"五险一金,年底双薪,绩效奖金,带薪年假,弹性工作",深圳市八斗才数据有限公司,20-99人,民营,https://jobs.zhaopin.com/562550032250050.htm,https://company.zhaopin.com/CZ562550030.htm,,
python开发工程师（上海）,10K-15K,1-3年,2019-08-19 10:20:37,本科,454,"五险一金,年底双薪,绩效奖金,交通补助,通讯补助",深圳市前海谷雨网络科技有限公司,20-99人,民营,https://jobs.zhaopin.com/544024686250049.htm,https://company.zhaopin.com/CZ544024680.htm,,
自动化测试工程师（Python+Selenium）,11K-15K,3-5年,2019-08-19 11:22:17,本科,453,"餐补,通讯补助,员工旅游,节日福利,年底双薪",北京元年科技股份有限公司,500-999人,上市公司,https://jobs.zhaopin.com/CC155417417J00164525714.htm,https://company.zhaopin.com/CZ155417410.htm,,
赴日java/Python软件开发-日语必须 ,15K-30K,不限,2019-08-20 22:48:34,本科,453,,Uniqsys优尼卡日本株式会社,20-99人,外商独资,https://jobs.zhaopin.com/CC842910190J00181379304.htm,https://company.zhaopin.com/CZ842910190.htm,,
Python开发工程师-上海-01937,15K-20K,3-5年,2019-08-14 14:27:42,本科,452,"五险一金,绩效奖金,加班补助,带薪年假",京北方信息技术股份有限公司上海分公司,1000-9999人,民营,https://jobs.zhaopin.com/CC530679920J00449612201.htm,https://company.zhaopin.com/CZ530679920.htm,,
python开发工程师,20K-25K,3-5年,2019-08-13 11:58:59,本科,452,"五险一金,绩效奖金,带薪年假,弹性工作,补充医疗保险",智慧芽信息科技(苏州)有限公司北京分公司,500-999人,外商独资,https://jobs.zhaopin.com/CC337566082J00188296413.htm,https://company.zhaopin.com/CZ337566080.htm,,
Python爬虫工程师,15K-20K,3-5年,2019-08-15 09:57:43,本科,452,"五险一金,节日福利",上海慧住信息科技有限公司,100-499人,民营,https://jobs.zhaopin.com/CC844880780J00397736207.htm,https://company.zhaopin.com/CZ844880780.htm,,
Python开发工程师,15K-25K,3-5年,2019-08-12 18:17:57,本科,452,"五险一金,绩效奖金,餐补,带薪年假,弹性工作",上海微创医疗器械(集团)有限公司,1000-9999人,外商独资,https://jobs.zhaopin.com/CC120538502J00382387003.htm,http://special.zhaopin.com/2010/sh/wcyl032304/index.html,,
python开发工程师,10K-18K,1-3年,2019-08-16 16:46:43,本科,451,"五险一金,绩效奖金,股票期权,加班补助,包吃",上海联元智能科技有限公司,20-99人,民营,https://jobs.zhaopin.com/CC490687230J00307115704.htm,https://company.zhaopin.com/CZ490687230.htm,,
python高级大数据开发工程师,15K-20K,3-5年,2019-08-16 13:56:10,本科,444,"五险一金,补充医疗保险,定期体检,绩效奖金,餐补",阿基米德(上海)传媒有限公司,20-99人,国企,https://jobs.zhaopin.com/CZ303024380J00060343007.htm,https://company.zhaopin.com/CZ303024380.htm,,
高级 Python 工程师,15K-20K,1-3年,2019-08-13 09:49:58,本科,444,"五险一金,年终分红",深圳同方以衡基金管理有限公司,20-99人,民营,https://jobs.zhaopin.com/CZ524189930J00307691302.htm,https://company.zhaopin.com/CZ524189930.htm,,
Python开发工程师,15K-30K,5-10年,2019-08-14 15:31:23,本科,444,"五险一金,绩效奖金,定期体检,节日福利,员工旅游",纳米盒,100-499人,民营,https://jobs.zhaopin.com/27793913790250029000.htm,https://company.zhaopin.com/CZ277939130.htm,,
it实习生/应届生（java/Python开发、数据开发、产品运维）,2K-4K,不限,2019-08-09 16:24:39,本科,441,"创业公司,五险一金,健身俱乐部,带薪年假,采暖补贴",上海慧度至明信息科技有限公司,20-99人,民营,https://jobs.zhaopin.com/CZ521559630J00297120604.htm,https://company.zhaopin.com/CZ521559630.htm,,
Python开发-ERP方向-实习生,4K-6K,不限,2019-08-18 16:52:47,本科,441,"五险一金,年底双薪,绩效奖金,带薪年假,补充医疗保险",上海迈智企业管理咨询事务所,20-99人,民营,https://jobs.zhaopin.com/CC223715429J00390564807.htm,https://company.zhaopin.com/CZ223715420.htm,,
PYTHON 开发工程师,6K-12K,1-3年,2019-08-14 16:27:41,大专,440,五险一金,烟台智慧云谷云计算有限公司,100-499人,其它,https://jobs.zhaopin.com/CC426745729J00413950405.htm,https://company.zhaopin.com/CZ426745720.htm,,
